latitude,rating,url,name,longitude
25.60908,4,https://www.tripadvisor.in/Restaurant_Review-g297592-d5071356-Reviews-Bell_Pepper_Restaurant-Patna_Bihar.html,Bell Pepper Restaurant,85.14221
25.61928,4,https://www.tripadvisor.in/Restaurant_Review-g297592-d4603468-Reviews-Blue_Moon-Patna_Bihar.html,Blue Moon,85.1101
25.604362,3.5,https://www.tripadvisor.in/Restaurant_Review-g297592-d5071365-Reviews-Dagshila_Restaurant-Patna_Bihar.html,Dagshila Restaurant,85.127625
25.59556,3.5,https://www.tripadvisor.in/Restaurant_Review-g297592-d5071373-Reviews-Emotions_Restaurant-Patna_Bihar.html,Emotions Restaurant,85.11578
25.615444,3.5,https://www.tripadvisor.in/Restaurant_Review-g297592-d4698737-Reviews-7_Colours_Restaurant-Patna_Bihar.html,7 Colours Restaurant,85.120224
25.61996,4,https://www.tripadvisor.in/Restaurant_Review-g297592-d6220257-Reviews-Shubhraj_Fast_Food-Patna_Bihar.html,Shubhraj Fast Food,85.14289
25.615143,3,https://www.tripadvisor.in/Restaurant_Review-g297592-d7683705-Reviews-Cafe_Coffee_Day-Patna_Bihar.html,Cafe Coffee Day,85.11533
25.611164,4,https://www.tripadvisor.in/Restaurant_Review-g297592-d10067428-Reviews-Bawarchi-Patna_Bihar.html,Bawarchi,85.143074
25.61593,3.5,https://www.tripadvisor.in/Restaurant_Review-g297592-d5071357-Reviews-Bollywood_Treats-Patna_Bihar.html,Bollywood Treats,85.14328
25.620445,3.5,https://www.tripadvisor.in/Restaurant_Review-g297592-d9975358-Reviews-Oh_Yes-Patna_Bihar.html,Oh Yes,85.041824
25.61845,3.5,https://www.tripadvisor.in/Restaurant_Review-g297592-d5997802-Reviews-Yo_China_Restaurant-Patna_Bihar.html,Yo! China Restaurant,85.08253
25.606695,3.5,https://www.tripadvisor.in/Restaurant_Review-g297592-d4922591-Reviews-Anamol_Paal-Patna_Bihar.html,Anamol Paal,85.13365
25.605024,3.5,https://www.tripadvisor.in/Restaurant_Review-g297592-d3668557-Reviews-Samarat-Patna_Bihar.html,Samarat,85.12804
25.609564,3.5,https://www.tripadvisor.in/Restaurant_Review-g297592-d5071370-Reviews-Habeli_Restaurant-Patna_Bihar.html,Habeli Restaurant,85.13774
,4,https://www.tripadvisor.in/Restaurant_Review-g297592-d4741840-Reviews-Paneer_Snacks_Corner-Patna_Bihar.html,,
25.614784,4,https://www.tripadvisor.in/Restaurant_Review-g297592-d7740964-Reviews-Nalanda-Patna_Bihar.html,Nalanda,85.14796
,,https://www.tripadvisor.in/Restaurant_Review-g297592-d10715739-Reviews-Green_Eye_Cafe-Patna_Bihar.html,,
,,https://www.tripadvisor.in/Restaurant_Review-g297592-d5071550-Reviews-Jalwa_Restaurant-Patna_Bihar.html,,
,,https://www.tripadvisor.in/Restaurant_Review-g297592-d10672225-Reviews-Mamta_Hotel-Patna_Bihar.html,,
